# METADATA
start-addr   : 0x561880d8d2a0
end-addr     : 0x561880d8ee30
block-size   : 7056
owner-thread : 0
slice-size   : 129
thread-count : 8
event-count  : 9512
max-qtime    : 9335

# DATA
time,thread,event,size,offset
0,0,Tc,0,0
1,0,R,8,3528
2,0,R,8,3688
3,0,W,8,3528
4,0,W,8,3688
5,0,R,8,3536
6,0,R,8,3680
7,0,W,8,3536
8,0,W,8,3680
9,0,R,8,3544
10,0,R,8,3672
11,0,W,8,3544
12,0,W,8,3672
13,0,R,8,3552
14,0,R,8,3664
15,0,W,8,3552
16,0,W,8,3664
17,0,R,8,3560
18,0,R,8,3656
19,0,W,8,3560
20,0,W,8,3656
21,0,R,8,3568
22,0,R,8,3648
23,0,W,8,3568
24,0,W,8,3648
25,0,R,8,3576
26,0,R,8,3640
27,0,W,8,3576
28,0,W,8,3640
29,0,R,8,3584
30,0,R,8,3632
31,0,W,8,3584
32,0,W,8,3632
33,0,R,8,3592
34,0,R,8,3624
35,0,W,8,3592
36,0,W,8,3624
37,0,R,8,3600
38,0,R,8,3616
39,0,W,8,3600
40,0,W,8,3616
41,0,R,8,3696
42,0,R,8,3856
43,0,W,8,3696
44,0,W,8,3856
45,0,R,8,3704
46,0,R,8,3848
47,0,W,8,3704
48,0,W,8,3848
49,0,R,8,3712
50,0,R,8,3840
51,0,W,8,3712
52,0,W,8,3840
53,0,R,8,3720
54,0,R,8,3832
55,0,W,8,3720
56,0,W,8,3832
57,0,R,8,3728
58,0,R,8,3824
59,0,W,8,3728
60,0,W,8,3824
61,0,R,8,3736
62,0,R,8,3816
63,0,W,8,3736
64,0,W,8,3816
65,0,R,8,3744
66,0,R,8,3808
67,0,W,8,3744
68,0,W,8,3808
69,0,R,8,3752
70,0,R,8,3800
71,0,W,8,3752
72,0,W,8,3800
73,0,R,8,3760
74,0,R,8,3792
75,0,W,8,3760
76,0,W,8,3792
77,0,R,8,3768
78,0,R,8,3784
79,0,W,8,3768
80,0,W,8,3784
81,1,Tc,0,0
82,0,R,8,3528
83,0,R,8,3856
84,0,W,8,3528
85,0,W,8,3856
86,0,R,8,3536
87,0,R,8,3848
88,0,W,8,3536
89,0,W,8,3848
90,0,R,8,3544
91,0,R,8,3840
92,0,W,8,3544
93,0,W,8,3840
94,0,R,8,3552
95,0,R,8,3832
96,0,W,8,3552
97,0,W,8,3832
98,0,R,8,3560
99,0,R,8,3824
100,0,W,8,3560
101,0,W,8,3824
102,0,R,8,3568
103,0,R,8,3816
104,0,W,8,3568
105,0,W,8,3816
106,0,R,8,3576
107,0,R,8,3808
108,0,W,8,3576
109,0,W,8,3808
110,0,R,8,3584
111,0,R,8,3800
112,0,W,8,3584
113,0,W,8,3800
114,0,R,8,3592
115,0,R,8,3792
116,0,W,8,3592
117,0,W,8,3792
118,0,R,8,3600
119,0,R,8,3784
120,0,W,8,3600
121,0,W,8,3784
122,0,R,8,3608
123,0,R,8,3776
124,0,W,8,3608
125,0,W,8,3776
126,0,R,8,3616
127,0,R,8,3768
128,0,W,8,3616
129,0,W,8,3768
130,0,R,8,3624
131,0,R,8,3760
132,0,W,8,3624
133,0,W,8,3760
134,0,R,8,3632
135,0,R,8,3752
136,0,W,8,3632
137,0,W,8,3752
138,0,R,8,3640
139,0,R,8,3744
140,0,W,8,3640
141,0,W,8,3744
142,0,R,8,3648
143,0,R,8,3736
144,0,W,8,3648
145,0,W,8,3736
146,0,R,8,3656
147,0,R,8,3728
148,0,W,8,3656
149,0,W,8,3728
150,0,R,8,3664
151,0,R,8,3720
152,0,W,8,3664
153,0,W,8,3720
154,0,R,8,3672
155,0,R,8,3712
